guildId,name,creationDate,memberCount,verified,reputationScore
1,NightWatch,2022-03-10 13:45:22,42,True,891
2,IronFangs,2023-05-21 08:20:10,37,False,475
3,ShadowLegion,2021-11-02 22:12:39,28,True,680
4,DragonHearts,2023-01-14 17:04:55,13,False,521
5,StormCallers,2024-02-01 10:15:00,46,True,972
6,LunarEcho,2023-07-19 09:10:30,25,True,654
7,CrimsonBlades,2022-08-05 18:40:45,31,False,722
8,FrozenWolves,2021-04-11 14:22:08,19,False,399
9,SolarKnights,2022-12-23 11:35:55,40,True,803
10,MysticOrder,2023-03-03 07:50:25,33,True,588
11,DarkPhoenix,2021-10-17 21:05:15,20,False,412
12,SilverGuard,2024-01-08 16:12:00,45,True,931
13,ThunderClan,2022-06-25 12:28:18,38,False,469
14,BloodMoon,2023-09-14 20:01:30,29,True,799
15,NovaEmpire,2021-05-30 10:18:42,26,False,544